OID_,giga_school_id,latitude,longitude,hex8,percent_3g,percent_4g,percent_2g,Included,Predicted,StdError
8253,G_NGA_009625,6.011022,6.866451,88588b395dfffff,38.48,33.81,27.72,Yes,33.74464539,0.044989349
8254,G_NGA_009935,6.13975,6.7905,88588b0465fffff,40.58,33.07,26.35,Yes,33.06394941,0.020804277
8255,G_NGA_009955,6.144375,6.832265,88588b041dfffff,39.78,34.03,26.19,Yes,33.92168227,0.029814293
8256,G_NGA_009959,6.139877,6.798692,88588b0467fffff,40.63,33.08,26.3,Yes,33.22362585,0.025573236
8257,G_NGA_009960,6.147229306,6.79227,88588b046dfffff,40.81,33.09,26.11,Yes,33.15395966,0.023509017
8258,G_NGA_010085,6.140022,6.779042,88588b0737fffff,40.27,32.76,26.98,Yes,32.93988516,0.022692618
8259,G_NGA_010139,6.110357,7.094255,88588b3511fffff,38.61,33.67,27.72,Yes,33.71143324,0.040577508
8299,G_NGA_017053,6.97579,7.58354,88588934e3fffff,40.33,34.35,25.32,Yes,34.37513753,0.047758455
8358,G_NGA_028123,6.28587,7.71713,8858d61757fffff,39.6,33.46,26.93,Yes,33.45792823,0.045575743
8359,G_NGA_028164,6.512808,7.740474,8858d68455fffff,39.79,34.27,25.94,Yes,34.28077589,0.0703499
8389,G_NGA_033850,6.003825,7.608986667,8858d60951fffff,39.67,32.18,28.15,Yes,32.15879862,0.052170663
8390,G_NGA_033969,6.010063333,7.438506667,8858d65549fffff,39.29,32.72,27.99,Yes,32.71045442,0.043450254
8391,G_NGA_033982,6.170976667,7.490718333,8858d61b43fffff,39.31,32.8,27.89,Yes,32.78600899,0.05159582
8392,G_NGA_033999,6.128478333,7.461685,8858d6cc8bfffff,39.26,32.87,27.87,Yes,32.86088977,0.030721688
8393,G_NGA_034081,6.4557391,7.5810825,8858d681e9fffff,39.65,34,26.35,Yes,33.89100309,0.048264433
8394,G_NGA_034110,6.48312,7.51839,8858d69891fffff,39.63,33.5,26.87,Yes,33.4423525,0.022621008
8395,G_NGA_034155,6.557598,7.416884,8858d69a0dfffff,40.19,34.35,25.46,Yes,34.36073266,0.040104828
8396,G_NGA_034923,6.747931,7.409188,885889280dfffff,40.6,34.07,25.33,Yes,34.07891591,0.032968099
8398,G_NGA_035703,6.1267,7.70004,8858d6003dfffff,39.79,32.53,27.68,Yes,32.59172531,0.038543366
8399,G_NGA_035946,6.273773333,7.532371667,8858d61365fffff,39.54,32.99,27.47,Yes,32.99355407,0.039181388
8400,G_NGA_036776,6.652138333,7.28452,885889676bfffff,40.41,34.63,24.96,Yes,34.6241094,0.040075365
8401,G_NGA_036956,6.434638333,7.408663333,8858d6d6c1fffff,40.52,33.72,25.75,Yes,33.73943615,0.0261684
8402,G_NGA_036966,6.321633333,7.364156667,8858d6c2d9fffff,39.78,33.56,26.66,Yes,33.58590779,0.049326259
8479,G_NGA_008521,6.48321,6.751855,88588b84a9fffff,39.3,35.54,25.16,Yes,35.54278515,0.081255264
8480,G_NGA_008675,6.338387,6.984934,88588ba19bfffff,39.5,35,25.5,Yes,34.96945484,0.03879384
8481,G_NGA_009243,6.157274,6.830106,88588b0457fffff,40.01,33.8,26.19,Yes,33.87802751,0.028832651
8486,G_NGA_010392,6.233385,6.928835,88588ba8abfffff,39.02,34.98,26,Yes,35.00571169,0.044291575
