latitude,longitude,percent_2g,percent_3g,percent_4g
6.6650818,6.746892821,26.70176433,38.91674234,38.91674234
6.675109857,6.746892821,26.7352458,38.91027522,38.91027522
6.685137914,6.746892821,26.77199761,38.90063965,38.90063965
6.695165971,6.746892821,26.81070704,38.88720349,38.88720349
6.705194029,6.746892821,26.84995517,38.87112304,38.87112304
6.715222086,6.746892821,26.88631035,38.85688986,38.85688986
6.725250143,6.746892821,26.90994305,38.85668993,38.85668993
6.7352782,6.746892821,26.93681009,38.85527678,38.85527678
6.745306257,6.746892821,26.96626587,38.85000821,38.85000821
6.755334314,6.746892821,26.99545389,38.8416252,38.8416252
6.765362371,6.746892821,27.0239891,38.82988025,38.82988025
6.775390429,6.746892821,27.05313122,38.81411688,38.81411688
6.785418486,6.746892821,27.08519838,38.79354093,38.79354093
6.795446543,6.746892821,27.1233923,38.76754162,38.76754162
6.8054746,6.746892821,27.17236135,38.73669876,38.73669876
6.815502657,6.746892821,27.2340146,38.70367244,38.70367244
6.825530714,6.746892821,27.29677716,38.67490452,38.67490452
6.835558771,6.746892821,27.35670461,38.68258409,38.68258409
6.845586829,6.746892821,27.41704351,38.73772543,38.73772543
6.855614886,6.746892821,27.45733631,38.75241175,38.75241175
6.865642943,6.746892821,27.48429504,38.71931322,38.71931322
6.875671,6.746892821,27.5111641,38.6676061,38.6676061
6.003230029,6.756886983,27.79414004,39.23911775,39.23911775
6.013258086,6.756886983,27.77614593,39.2860904,39.2860904
6.023286143,6.756886983,27.77738637,39.30198767,39.30198767
6.0333142,6.756886983,27.79677046,39.29162286,39.29162286
6.043342257,6.756886983,27.8184777,39.27366321,39.27366321
6.053370314,6.756886983,27.84298816,39.25799576,39.25799576
6.063398371,6.756886983,27.86321438,39.23952285,39.23952285
6.073426429,6.756886983,27.86395114,39.22965826,39.22965826
6.083454486,6.756886983,27.88720592,39.26992345,39.26992345
6.093482543,6.756886983,28.0286834,39.29162609,39.29162609
6.1035106,6.756886983,28.20717043,39.17137918,39.17137918
6.113538657,6.756886983,28.20372289,39.13520787,39.13520787
