longitude,latitude,percent_2g,percent_3g,percent_4g
7.30728,6.01097,27.8022478,39.10599412,33.08917978
7.31728,6.01097,27.81258759,39.18767261,33.00715221
7.32728,6.01097,27.80468681,39.19355857,33.00998356
7.33728,6.01097,27.79994175,39.19672747,33.00997803
7.34728,6.01097,27.94094016,39.26990857,32.78601488
7.35728,6.01097,27.94684937,39.27446031,32.77869032
7.36728,6.01097,27.89513066,39.33787993,32.76698941
7.37728,6.01097,27.90065618,39.32584651,32.77349731
7.38728,6.01097,27.72839842,39.34404668,32.93440815
7.39728,6.01097,27.78211416,39.32228894,32.89916443
7.40728,6.01097,27.84258992,39.31856274,32.84191034
7.41728,6.01097,27.99642306,39.2881641,32.72405718
7.42728,6.01097,28.02989329,39.28202134,32.69606403
7.43728,6.01097,27.99,39.28805977,32.72129349
7.44728,6.01097,27.99,39.26757549,32.73494967
7.45728,6.01097,28.14470807,39.27128307,32.58165484
7.46728,6.01097,28.14551718,39.27085716,32.58086707
7.47728,6.01097,28.15817169,39.26182831,32.57616679
7.48728,6.01097,28.15851939,39.26148061,32.57639724
7.49728,6.01097,28.15815713,39.26184287,32.5764899
7.50728,6.01097,28.11892773,39.40961266,32.46923051
7.51728,6.01097,28.088691,39.50426122,32.40704779
7.52728,6.01097,28.08900802,39.49912067,32.41187132
7.53728,6.01097,28.0928891,39.4713077,32.4358032
7.54728,6.01097,28.06516015,39.51439143,32.42044842
7.55728,6.01097,28.05378213,39.55762792,32.38858996
7.56728,6.01097,28.05131753,39.64395258,32.30472989
7.57728,6.01097,28.06654861,39.69151761,32.24193378
7.58728,6.01097,28.09436285,39.67563715,32.23
7.59728,6.01097,28.11482984,39.66120746,32.22396271
7.60728,6.01097,28.11924562,39.66231141,32.21844297
7.61728,6.01097,28.16099927,39.73137477,32.11319319
7.62728,6.01097,28.18537078,39.76368899,32.05905977
7.63728,6.01097,28.19840433,39.76330709,32.04633667
7.64728,6.01097,28.24032586,39.67620503,32.08677529
7.65728,6.01097,28.16441137,39.69219586,32.13966047
7.66728,6.01097,28.13328169,39.70651788,32.15563958
7.67728,6.01097,28.12883963,39.73067756,32.13645692
7.68728,6.01097,28.15435956,39.75960236,32.083698
7.69728,6.01097,28.23893093,39.69509297,32.0659761
7.70728,6.01097,28.30336254,39.56056716,32.1360703
7.71728,6.01097,28.3032842,39.56061161,32.13610419
7.72728,6.01097,28.48687811,39.40322594,32.10989594
7.73728,6.01097,28.48810255,39.39186847,32.12002898
6.74728,6.02097,27.30077041,38.78933018,33.91058846
6.75728,6.02097,27.28868185,38.79394815,33.92023213
6.76728,6.02097,27.29115165,38.79394592,33.9183795
6.77728,6.02097,27.29188618,38.79381109,33.91781175
6.78728,6.02097,27.39675809,38.75984291,33.84339901
6.79728,6.02097,27.49928363,38.68955403,33.81116235
6.80728,6.02097,27.49850358,38.68909299,33.81240343
6.81728,6.02097,27.50315006,38.6926054,33.80424455
6.82728,6.02097,27.45739455,38.6921325,33.8525358
6.83728,6.02097,27.52979629,38.66013581,33.81334448
6.84728,6.02097,27.6677591,38.60611404,33.73057504
6.85728,6.02097,27.66620879,38.64504252,33.69194889
6.86728,6.02097,27.71711013,38.55638655,33.73337105
6.87728,6.02097,27.74193852,38.57380822,33.6937325
6.88728,6.02097,27.78597867,38.48583849,33.7275844
6.89728,6.02097,27.86831217,38.4529044,33.67702709
6.90728,6.02097,27.91859803,38.30994124,33.77821083
6.91728,6.02097,27.81803592,38.3765076,33.80545648
6.92728,6.02097,27.65429598,38.45795022,33.88718173
6.93728,6.02097,27.55361347,38.54287051,33.90191939
6.94728,6.02097,27.51991773,38.72014182,33.76080776
6.95728,6.02097,27.58752421,38.69864874,33.71330655
6.96728,6.02097,27.63780831,38.75478149,33.60614818
6.97728,6.02097,27.70351585,38.72084371,33.57489359
6.98728,6.02097,27.79143204,38.63465558,33.57391239
6.99728,6.02097,27.7728414,38.5958089,33.6313497
7.00728,6.02097,27.76340206,38.56786506,33.6674822
7.01728,6.02097,27.81196471,38.55235998,33.63567531
7.02728,6.02097,27.82931845,38.68315843,33.48752312
7.03728,6.02097,27.87238704,38.61953941,33.50900348
7.04728,6.02097,27.83804374,38.57469127,33.58726498
7.05728,6.02097,27.85887954,38.54787452,33.59860393
7.06728,6.02097,27.90030137,38.61273682,33.4906278
7.07728,6.02097,27.87863563,38.75268422,33.37172544
7.08728,6.02097,27.88089344,38.77325753,33.34584903
7.09728,6.02097,27.8382844,38.84688556,33.31483004
7.10728,6.02097,27.86603548,38.87574973,33.25642102
7.11728,6.02097,27.8588229,38.87330706,33.26340068
