longitude,latitude,percent_2g,percent_3g,percent_4g
6.9167,6.031714286,27.71973225,38.44917443,33.83128415
6.9267,6.031714286,27.64991034,38.52923085,33.83365902
6.9367,6.031714286,27.58402878,38.61354418,33.82237781
6.9467,6.031714286,27.53736577,38.68146567,33.80035457
6.9567,6.031714286,27.51931055,38.71779531,33.77307862
6.9667,6.031714286,27.53123751,38.71708981,33.74721077
6.9767,6.031714286,27.56688868,38.68472999,33.72879454
6.9867,6.031714286,27.61505531,38.63427055,33.72155951
6.9967,6.031714286,27.66356893,38.58208851,33.72578878
7.0067,6.031714286,27.70317854,38.54152293,33.73807702
7.0167,6.031714286,27.72997264,38.51895291,33.75206314
7.0267,6.031714286,27.74558327,38.51338502,33.75995457
7.0367,6.031714286,27.75526883,38.51947093,33.75444701
7.0467,6.031714286,27.76478405,38.53222598,33.730545
7.0567,6.031714286,27.77738906,38.55089548,33.68682747
7.0667,6.031714286,27.79224777,38.57985875,33.62586179
7.0767,6.031714286,27.8048601,38.62598404,33.55369825
7.0867,6.031714286,27.80930794,38.69370514,33.47860739
7.0967,6.031714286,27.80132806,38.7803506,33.40939438
7.1067,6.031714286,27.78087013,38.87427356,33.35369695
7.1167,6.031714286,27.75300221,38.95707732,33.31663897
7.1267,6.031714286,27.72670304,39.00931376,33.30009089
7.1367,6.031714286,27.71194854,39.01737765,33.30262303
7.1467,6.031714286,27.71620031,38.97871605,33.3200748
7.1567,6.031714286,27.7416516,38.90318135,33.34654245
7.1667,6.031714286,27.78428694,38.81001152,33.37553133
7.1767,6.031714286,27.83509836,38.72173089,33.40102865
7.1867,6.031714286,27.88297348,38.65741602,33.4183135
7.1967,6.031714286,27.91816204,38.62781189,33.42440838
7.2067,6.031714286,27.93507114,38.63379959,33.41816457
7.2167,6.031714286,27.93347022,38.66824161,33.40004305
7.2267,6.031714286,27.91784346,38.7199513,33.37169401
7.2367,6.031714286,27.89532572,38.77795962,33.33544946
7.2467,6.031714286,27.87312002,38.83451289,33.29383359
7.2567,6.031714286,27.85636294,38.88607352,33.2491702
7.2667,6.031714286,27.84709452,38.93254778,33.20333563
7.2767,6.031714286,27.84447223,38.97560216,33.15767289
7.2867,6.031714286,27.84588015,39.01704686,33.11305139
7.2967,6.031714286,27.84831827,39.05792928,33.07002994
7.3067,6.031714286,27.84948996,39.09845062,33.02906093
7.3167,6.031714286,27.84827289,39.13838458,32.99066536
7.3267,6.031714286,27.84460373,39.17752036,32.95551669
7.3367,6.031714286,27.8390592,39.21578172,32.92439639
7.3467,6.031714286,27.83247416,39.2529581,32.89802359
7.3567,6.031714286,27.82580492,39.28824614,32.87680599
7.3667,6.031714286,27.82022288,39.31991147,32.8605951
7.3767,6.031714286,27.81724248,39.3453176,32.84854429
7.3867,6.031714286,27.81865045,39.36139781,32.83915082
7.3967,6.031714286,27.8261271,39.36546891,32.83051409
7.4067,6.031714286,27.84066243,39.35617701,32.82077044
